 pm25, pm10, o3, no2, so2, co,AQI
119,70,25,3,10,2,119
109,59,20,2,9,1,109
78,57,17,1,10,3,78
77,59,16,3,11,4,77
76,60,17,3,10,4,76
82,62,23,3,10,4,82
80,53,16,2,13,4,80
70,34,16,2,9,4,70
45,32,12,3,9,3,45
54,41,11,3,10,3,54
57,33,7,3,9,3,57
43,34,18,3,9,3,43
42,16,18,3,9,3,42
15,22,23,4,11,3,23
26,28,20,3,10,3,28
51,42,15,3,10,3,51
74,47,23,3,11,3,74
78,51,20,2,10,3,78
83,43,15,2,10,3,83
64,44,15,3,11,3,64
68,48,21,4,11,3,68
76,47,24,7,12,4,76
86,51,22,5,10,3,86
81,52,20,4,11,3,81
81,57,24,4,11,3,81
85,61,24,4,11,4,85
100,53,24,3,10,3,100
84,49,19,4,10,3,84
81,38,12,3,10,3,81
60,24,11,3,10,3,60
41,22,10,3,11,3,41
31,20,10,3,11,2,31
24,17,11,3,9,2,24
16,15,6,3,9,3,16
